place_id,name,rating,reviews_count,long,lat
1,Kebun Teh Kemuning,4.5,1630,-7.5955234,111.1333666
2,Bukit Soko Gunung,4.5,68,-7.8378746,110.8970116
3,Oemah Bamboo,4.2,432,-7.5163576,110.4526212
4,Taman Hutan Raya KGPAA Mangkunagoro I,4.5,732,-7.6232274,111.1365804
5,Air Terjun Jumog,4.6,783,-7.6311048,111.1245327
6,Puro Mangkunegaran,4.7,7520,-7.5671112,110.8227592
7,Keraton Surakarta Hadiningrat,4.6,14917,-7.577773,110.8278931
8,Kampung Gamelan Wirun,5,1,-7.5973151,110.8360089
9,Kampung Batik Laweyan,4.6,174,-7.5700737,110.7977996
10,Kampung Batik Kauman,4.6,1484,-7.5734171,110.8263068
11,Kampung Blangkon Serengan,4.8,12,-7.581713,110.8158544
12,Kampung Kemlayan,4,1,-7.5720179,110.8210193
13,Tumurun Private Museum,4.8,2154,-7.5704065,110.8163901
14,Gladak,4.6,90,-7.5727187,110.8293154
15,Ponten Mangkunegaran IV,4.6,244,-7.5610617,110.8221541
16,Taman Monumen 45 Banjarsari,4.5,4525,-7.5604092,110.8264441
17,Balaikota Solo,4.6,893,-7.5694476,110.829594
18,Benteng Vastenburg,4.5,15652,-7.5719529,110.8307322
19,Museum Samanhoedi,4.5,241,-7.5666572,110.7973478
20,Museum Monumen Pers,4.6,2323,-7.565059,110.818131
21,Museum Keris Nusantara,4.6,2386,-7.5690312,110.8108078
22,De Tjolomadoe,4.6,21023,-7.5341353,110.7499199
23,Museum Batik Danar Hadi,4.6,2240,-7.5687936,110.8163394
24,Situs Prasejarah Sangiran,4.7,952,-7.4556262,110.8342097
25,Solo Safari,4,16771,-7.564647,110.8585969
26,Rumah Budaya Kratonan,4.4,346,-7.5778095,110.8182663
27,Museum Lokananta,4.8,857,-7.5577331,110.7954845
28,Solo Techno Park,4.7,726,-7.5560692,110.8538665
29,Taman Cerdas,4.2,4,-7.5539899,110.8532752
30,Pasar Kembang,4.5,3040,-7.2694177,112.7293681
31,Pare Anom Art Shop,4.1,2,-7.5671112,110.8227592
32,Benteng Trade Center,4.6,4687,-7.5738012,110.8315835
33,Pusat Grosir Solo,4.4,14137,-7.573093,110.829882
34,Pasar Malam Ngarsopuro,4.5,5578,-7.56875,110.8223017
35,Pasar Klewer,4.5,10084,-7.5844761,110.8295178
36,Pasar Antik Triwindu,4.5,2962,-7.5691764,110.8225383
37,Pasar Gedhe Harjonagoro,4.6,21244,-7.5693566,110.8314446
38,Nasi Liwet Bu Wongso Lemu,3.9,4821,-7.5695847,110.8235705
39,Timlo Sastro,4.5,2810,-7.5645116,110.834624
40,Sate Buntel Mbok Galak,4.4,7083,-7.5447468,110.8087797
41,Warung Pecel Bu Kis,4.4,1007,-6.6990343,111.6212926
42,Cabuk Rambak Bu Parmi,4.6,1329,-7.5807778,110.8210745
43,Tengkleng Bu Edi,4.2,1752,-7.574966,110.8273845
44,Gudeg Ceker Margoyudan,4.5,3682,-7.5588255,110.8296634
45,Serabi Notosuman,4.6,1859,-7.7971137,110.3622028
46,Dawet Telasih Bu Dermi,4.3,915,-7.5690142,110.8320076
47,Bakmi Toprak Yu Nani,4.7,10,-7.5710702,110.8131168
48,Sambel Tumpang Bu Kis,4.4,1007,-6.6990343,111.6212926
49,Tahu Kupat Solihin,4.3,247,-7.546656,110.82021
50,Sate Kere Yu Rebi,4.3,1183,-7.5696786,110.8113261
51,Tahok Pak Citro,4.4,149,-7.5692402,110.8311688
52,Selat Solo Vien's,4.4,10791,-7.5695177,110.8250266
53,Masjid Raya Syeikh Zayed,4.7,9393,-7.5547331,110.826713
54,Pura Indra Prasta,4.9,13,-7.5653241,110.7871019
55,Astana Oetara,4.9,31,-7.5481073,110.8235862
56,Candi Putih,4.6,430,-7.5698423,110.8487998
57,Masjid Agung Keraton Solo,4.8,7496,-7.5744033,110.8265936
